taxon,aoo,eoo
"Abarema acreana",16,21121
"Abarema cochliacarpos",848,4032112
"Acosmium diffusissimum",88,316327
"Acosmium lentiscifolium",248,533736
"Adesmia paranensis",56,39921
"Aeschynomene denticulata",36,5975846
"Aeschynomene fructipendula",8,8
"Aeschynomene montevidensis",92,6928728
"Aeschynomene selloi",68,5778264
"Albizia burkartiana",12,5838
"Albizia decandra",36,338163
"Albizia edwallii",464,586730
"Albizia glabripetala",24,2251
"Albizia niopoides",748,6744355
"Albizia polycephala",1220,6231511
"Aldina heterophylla",44,10853
"Aldina microphylla",8,8
"Aldina occidentalis",4,4
"Aldina polyphylla",16,54823
"Alexa bauhiniiflora",48,56426
"Alexa grandiflora",208,1067942
"Amburana acreana",52,393659
"Amburana cearensis",572,2746686
"Amburana erythrosperma",16,2510
"Ancistrotropis firmula",420,3355615
"Andira anthelmia",708,6179203
"Andira carvalhoi",104,1170969
"Andira cordata",328,1072727
"Andira cujabensis",548,1931778
"Andira fraxinifolia",2600,5802021
"Andira humilis",896,4444149
"Andira inermis",612,9109346
"Andira legalis",368,3695513
"Andira macrothyrsa",44,287213
"Andira marauensis",28,1100
"Andira micrantha",104,481438
"Andira multistipula",56,463487
"Andira nitida",716,1341902
"Andira ormosioides",252,1323786
"Andira parviflora",116,740616
"Andira praecox",16,3487
"Andira unifoliolata",80,198082
"Andira vermifuga",732,4535820
"Androcalymma glabrifolium",8,8
"Apuleia leiocarpa",1380,8094569
"Arachis benthamii",108,116893
"Arachis burchellii",156,579332
"Arachis dardani",280,543014
"Arachis kuhlmannii",96,359896
"Arachis lutescens",84,174773
"Arachis macedoi",48,685484
"Arachis pintoi",120,3282991
"Arachis prostrata",248,2202286
"Arachis pusilla",236,2547207
"Arachis repens",148,6455745
"Arachis stenosperma",76,892720
"Arachis veigae",44,181058
"Arachis villosa",8,8
"Arapatiella emarginata",28,756
"Arapatiella psilophylla",224,60364
"Bauhinia acreana",168,2268051
"Bauhinia acuruana",1352,2570908
"Bauhinia affinis",140,492987
"Bauhinia albicans",24,601
"Bauhinia aureopunctata",24,228393
"Bauhinia bicolor",4,4
"Bauhinia bombaciflora",128,429325
"Bauhinia burchellii",88,1503823
"Bauhinia candelabriformis",12,25
"Bauhinia catingae",580,3258734
"Bauhinia cheilantha",1192,3209361
"Bauhinia corifolia",144,118818
"Bauhinia cupulata",320,1777366
"Bauhinia curvula",468,2925014
"Bauhinia dubia",664,3770751
"Bauhinia dumosa",372,641337
"Bauhinia fusconervis",80,101603
"Bauhinia gardneri",168,369322
"Bauhinia glaziovii",12,27
"Bauhinia goyazensis",140,295067
"Bauhinia grandifolia",20,365175
"Bauhinia holophylla",940,2362905
"Bauhinia integerrima",116,136269
"Bauhinia leptantha",88,67660
"Bauhinia longifolia",1000,3615693
"Bauhinia longipedicellata",92,4423270
"Bauhinia malacotrichoides",60,37192
"Bauhinia marginata",8,8
"Bauhinia membranacea",164,2529394
"Bauhinia ovata",196,194701
"Bauhinia piresii",8,8
"Bauhinia subclavata",388,1146471
"Bauhinia uberlandiana",8,8
"Betencourtia crassifolia",168,417145
"Betencourtia neesii",216,2351089
"Betencourtia stereophylla",216,33990
"Bionia coccinea",416,524821
"Bionia coriacea",1280,1133834
"Bionia pedicellata",428,369975
"Blanchetiodendron blanchetii",192,503078
"Bocoa ratteri",8,8
"Bowdichia nitida",172,11980179
"Bowdichia virgilioides",1524,5525987
"Brodriguesia santosii",228,77852
"Browneopsis peruviana",12,11887
"Calliandra aeschynomenoides",140,248475
